repeat	model	auc	brier
36	clinical_pair	0.5223776223776223	0.2054422546066972
36	clinical_lineages	0.451048951048951	0.21171627018698302
36	clinical_lineages_pair	0.5867132867132867	0.1969225785208216
37	clinical	0.5041958041958041	0.19329735171905343
37	clinical_pair	0.5895104895104895	0.19580589619711256
37	clinical_lineages	0.5377622377622377	0.19844477021707974
37	clinical_lineages_pair	0.6223776223776224	0.19054070678343862
38	clinical	0.5034965034965035	0.19312505631534468
38	clinical_pair	0.6020979020979021	0.18749708055271833
38	clinical_lineages	0.5699300699300699	0.19845152604282357
38	clinical_lineages_pair	0.665034965034965	0.18854121794949852
39	clinical	0.5097902097902098	0.19198451143711837
39	clinical_pair	0.6083916083916083	0.1824831788254031
39	clinical_lineages	0.5713286713286714	0.19392744704100812
39	clinical_lineages_pair	0.7027972027972028	0.18026707994464009
40	clinical	0.4839160839160839	0.1963772473349667
40	clinical_pair	0.5706293706293707	0.1935362009111142
40	clinical_lineages	0.5013986013986014	0.20273477001574083
40	clinical_lineages_pair	0.6111888111888112	0.20355298151534948
41	clinical	0.5209790209790209	0.19045947631906437
41	clinical_pair	0.5895104895104895	0.18517911003388396
41	clinical_lineages	0.4937062937062937	0.2040870533619993
41	clinical_lineages_pair	0.6202797202797202	0.18935960290376638
42	clinical	0.5055944055944055	0.19030010188771146
42	clinical_pair	0.6363636363636365	0.1799276072301718
42	clinical_lineages	0.5881118881118881	0.19380914892636583
42	clinical_lineages_pair	0.6776223776223776	0.1878649715619942
43	clinical	0.49650349650349646	0.19689973444358394
43	clinical_pair	0.548951048951049	0.20264919087373148
43	clinical_lineages	0.5328671328671328	0.20193570690505355
43	clinical_lineages_pair	0.6097902097902097	0.19967636946855769
44	clinical	0.5244755244755246	0.19201497506097712
44	clinical_pair	0.6097902097902098	0.18393437968814294
44	clinical_lineages	0.5622377622377622	0.19221728397356982
44	clinical_lineages_pair	0.6496503496503496	0.18451433286294502
45	clinical	0.5391608391608391	0.18935865249718775
45	clinical_pair	0.634965034965035	0.1804869250480224
45	clinical_lineages	0.5755244755244755	0.1951928541876147
45	clinical_lineages_pair	0.6615384615384615	0.1818878467802794
46	clinical	0.48461538461538456	0.19501973843039794
46	clinical_pair	0.6146853146853146	0.18585987854517882
46	clinical_lineages	0.527972027972028	0.2007244702021389
46	clinical_lineages_pair	0.6587412587412587	0.18988597114761072
47	clinical	0.5426573426573427	0.189456629611789
47	clinical_pair	0.6307692307692307	0.18162364995413524
47	clinical_lineages	0.558041958041958	0.20121840475140523
47	clinical_lineages_pair	0.6629370629370629	0.18313193603394062
48	clinical	0.5552447552447553	0.18829091944669166
48	clinical_pair	0.6300699300699301	0.1796309440066
48	clinical_lineages	0.5636363636363636	0.1963722197419627
48	clinical_lineages_pair	0.6517482517482517	0.1873907970411396
49	clinical	0.5076923076923077	0.19463198117654731
49	clinical_pair	0.5909090909090909	0.18597904989611605
49	clinical_lineages	0.5153846153846153	0.21487081806319794
49	clinical_lineages_pair	0.6076923076923078	0.20663626243803723
50	clinical	0.5013986013986014	0.19490849361059812
50	clinical_pair	0.562937062937063	0.18964123005562417
50	clinical_lineages	0.5755244755244755	0.19531396048707889
50	clinical_lineages_pair	0.6489510489510489	0.18886419516143368
51	clinical	0.4643356643356643	0.1983673222480263
51	clinical_pair	0.5713286713286713	0.18935561567751122
51	clinical_lineages	0.5328671328671329	0.2015611790058321
51	clinical_lineages_pair	0.6188811188811189	0.18949347024257643
52	clinical	0.4447552447552447	0.19941525293924722
52	clinical_pair	0.49580419580419577	0.20470086414480718
52	clinical_lineages	0.5132867132867132	0.20523618155568654
52	clinical_lineages_pair	0.5888111888111888	0.20376392719695738
53	clinical	0.48181818181818176	0.19477219483445693
53	clinical_pair	0.5832167832167832	0.19035484921214985
53	clinical_lineages	0.5265734265734265	0.2010674131879369
53	clinical_lineages_pair	0.606993006993007	0.1939972041119592
54	clinical	0.43986013986013983	0.2049126242976865
54	clinical_pair	0.5223776223776224	0.1943374516020855
54	clinical_lineages	0.49020979020979016	0.213355908345407
54	clinical_lineages_pair	0.5874125874125874	0.19946891875236478
55	clinical	0.4083916083916084	0.20201316432049504
55	clinical_pair	0.5797202797202797	0.19135686588993242
55	clinical_lineages	0.5118881118881119	0.21113629614503876
55	clinical_lineages_pair	0.6286713286713287	0.19571084359673466
56	clinical	0.4286713286713286	0.2054499275834295
56	clinical_pair	0.5181818181818182	0.20211992793684444
56	clinical_lineages	0.4965034965034965	0.2060177510252301
56	clinical_lineages_pair	0.5811188811188812	0.20195107099068638
57	clinical	0.5013986013986014	0.19582120455895563
57	clinical_pair	0.5762237762237763	0.19131060280448922
57	clinical_lineages	0.5475524475524476	0.20129889721240538
57	clinical_lineages_pair	0.6335664335664335	0.1969485335483729
58	clinical	0.47482517482517483	0.19709377428965488
58	clinical_pair	0.555944055944056	0.18915344605598716
58	clinical_lineages	0.5209790209790209	0.2056916907625028
58	clinical_lineages_pair	0.6062937062937063	0.19983337900596365
59	clinical	0.5160839160839161	0.1920946256899634
59	clinical_pair	0.6125874125874126	0.18727669252383755
59	clinical_lineages	0.548951048951049	0.19801940259122008
59	clinical_lineages_pair	0.6685314685314685	0.18610738805781663
60	clinical	0.4888111888111888	0.1971859308786554
60	clinical_pair	0.5916083916083916	0.18822044924227907
60	clinical_lineages	0.5377622377622377	0.19834348878447935
60	clinical_lineages_pair	0.6727272727272727	0.1853754651791722
61	clinical	0.451048951048951	0.20085144847124414
61	clinical_pair	0.5545454545454545	0.18945477447212294
61	clinical_lineages	0.4951048951048951	0.20653212624378306
61	clinical_lineages_pair	0.6265734265734265	0.1979550357141666
62	clinical	0.49300699300699297	0.19364800885436645
62	clinical_pair	0.6230769230769231	0.18422483819568977
