cohort	patient	gene	state	n_cells	positive_cells	pct_positive
GSE162454	OS_2	CCL22	Myeloid	1072	18	1.6791044776119404
GSE162454	OS_2	CCL22	Osteoclast	267	8	2.9962546816479403
GSE162454	OS_2	CCL22	T_NK	318	2	0.628930817610063
GSE162454	OS_2	CCL22	Tumor_mesenchymal	1129	2	0.1771479185119575
GSE162454	OS_3	CCL22	B_plasma	4	0	0.0
GSE162454	OS_3	CCL22	Endothelial	71	0	0.0
GSE162454	OS_3	CCL22	Fibroblast_MSC	157	0	0.0
GSE162454	OS_3	CCL22	Myeloid	201	1	0.4975124378109453
GSE162454	OS_3	CCL22	Osteoclast	172	2	1.1627906976744187
GSE162454	OS_3	CCL22	T_NK	90	0	0.0
GSE162454	OS_3	CCL22	Tumor_mesenchymal	2305	2	0.08676789587852494
GSE162454	OS_4	CCL22	B_plasma	87	2	2.2988505747126435
GSE162454	OS_4	CCL22	Endothelial	68	0	0.0
GSE162454	OS_4	CCL22	Fibroblast_MSC	115	0	0.0
GSE162454	OS_4	CCL22	Myeloid	1228	14	1.1400651465798046
GSE162454	OS_4	CCL22	Osteoclast	165	2	1.2121212121212122
GSE162454	OS_4	CCL22	T_NK	337	0	0.0
GSE162454	OS_4	CCL22	Tumor_mesenchymal	1000	2	0.2
GSE162454	OS_5	CCL22	B_plasma	6	0	0.0
GSE162454	OS_5	CCL22	Endothelial	52	0	0.0
GSE162454	OS_5	CCL22	Fibroblast_MSC	55	0	0.0
GSE162454	OS_5	CCL22	Myeloid	2083	21	1.0081613058089294
GSE162454	OS_5	CCL22	Osteoclast	82	2	2.4390243902439024
GSE162454	OS_5	CCL22	T_NK	598	1	0.16722408026755853
GSE162454	OS_5	CCL22	Tumor_mesenchymal	124	0	0.0
GSE162454	OS_6	CCL22	B_plasma	466	1	0.2145922746781116
GSE162454	OS_6	CCL22	Endothelial	50	0	0.0
GSE162454	OS_6	CCL22	Fibroblast_MSC	190	0	0.0
GSE162454	OS_6	CCL22	Myeloid	471	2	0.42462845010615713
GSE162454	OS_6	CCL22	Osteoclast	14	0	0.0
GSE162454	OS_6	CCL22	T_NK	966	0	0.0
GSE162454	OS_6	CCL22	Tumor_mesenchymal	843	1	0.11862396204033215
GSE162454	OS_1	CCL25	B_plasma	6	0	0.0
GSE162454	OS_1	CCL25	Endothelial	20	0	0.0
GSE162454	OS_1	CCL25	Fibroblast_MSC	46	0	0.0
GSE162454	OS_1	CCL25	Myeloid	1693	0	0.0
GSE162454	OS_1	CCL25	Osteoclast	282	0	0.0
GSE162454	OS_1	CCL25	T_NK	114	0	0.0
GSE162454	OS_1	CCL25	Tumor_mesenchymal	839	1	0.11918951132300357
GSE162454	OS_2	CCL25	B_plasma	13	0	0.0
GSE162454	OS_2	CCL25	Endothelial	102	0	0.0
GSE162454	OS_2	CCL25	Fibroblast_MSC	99	0	0.0
GSE162454	OS_2	CCL25	Myeloid	1072	0	0.0
GSE162454	OS_2	CCL25	Osteoclast	267	0	0.0
GSE162454	OS_2	CCL25	T_NK	318	0	0.0
GSE162454	OS_2	CCL25	Tumor_mesenchymal	1129	0	0.0
GSE162454	OS_3	CCL25	B_plasma	4	0	0.0
GSE162454	OS_3	CCL25	Endothelial	71	0	0.0
GSE162454	OS_3	CCL25	Fibroblast_MSC	157	0	0.0
GSE162454	OS_3	CCL25	Myeloid	201	0	0.0
GSE162454	OS_3	CCL25	Osteoclast	172	0	0.0
GSE162454	OS_3	CCL25	T_NK	90	0	0.0
GSE162454	OS_3	CCL25	Tumor_mesenchymal	2305	0	0.0
GSE162454	OS_4	CCL25	B_plasma	87	1	1.1494252873563218
GSE162454	OS_4	CCL25	Endothelial	68	0	0.0
GSE162454	OS_4	CCL25	Fibroblast_MSC	115	0	0.0
GSE162454	OS_4	CCL25	Myeloid	1228	0	0.0
GSE162454	OS_4	CCL25	Osteoclast	165	0	0.0
GSE162454	OS_4	CCL25	T_NK	337	0	0.0
