cohort	patient	context	gene	target_state	metric	target_value	strongest_alternative_state	strongest_alternative_value	target_minus_strongest_alternative	target_n_cells
GSE152048	BC21	primary	ACKR4	Osteoclast	pct_positive	0.815217391304348	Endothelial	1.28205128205128	-0.46683389074693193	1472
GSE152048	BC21	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0036981368226233	Endothelial	0.0176538985814155	-0.0139557617587922	1472
GSE152048	BC21	primary	CCL13	Myeloid	pct_positive	5.7116953762466	Pericyte	1.21951219512195	4.49218318112465	1103
GSE152048	BC21	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0706087544707855	Pericyte	0.0311367648295439	0.0394719896412416	1103
GSE152048	BC22	primary	CCL13	Myeloid	pct_positive	3.63349131121643	Pericyte	6.34920634920635	-2.7157150379899195	1266
GSE152048	BC22	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0463021805519174	Pericyte	0.104611079470511	-0.0583088989185936	1266
GSE152048	BC3	primary	ACKR4	Osteoclast	pct_positive	0.100806451612903	Myeloid	0.0292997363023733	0.0715067153105297	992
GSE152048	BC3	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0025509802275792	Myeloid	0.0004724067239096	0.0020785735036695997	992
GSE152048	BC3	primary	CCL13	Myeloid	pct_positive	0.468795780837973	T_NK	0.380228136882129	0.08856764395584404	3413
GSE152048	BC3	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0136364423906407	T_NK	0.0106236772912615	0.0030127650993792	3413
GSE152048	BC5	primary	ACKR4	Osteoclast	pct_positive	0.761904761904762	Pericyte	4.41558441558442	-3.6536796536796583	1050
GSE152048	BC5	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0087334133176271	Pericyte	0.0651873696723747	-0.056453956354747606	1050
GSE152048	BC5	primary	CCL13	Myeloid	pct_positive	0.29492310933221	Pericyte	1.2987012987013	-1.00377818936909	4747
GSE152048	BC5	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0062331183347371	Pericyte	0.0300341698136905	-0.0238010514789534	4747
GSE152048	BC6	primary	ACKR4	Osteoclast	pct_positive	0.315346881569727	Fibroblast_MSC	0.283811810937671	0.03153507063205602	2854
GSE152048	BC6	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0027497733534768	Fibroblast_MSC	0.0033211472802335	-0.0005713739267567	2854
GSE152048	BC6	primary	CCL13	Myeloid	pct_positive	5.22588055130168	Osteoclast	0.700770847932726	4.525109703368954	5224
GSE152048	BC6	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0892524668666684	Endothelial	0.0079498856133772	0.0813025812532912	5224
GSE152048	BC11	recurrence	CCL13	Myeloid	pct_positive	2.38393977415307	Pericyte	4.16666666666667	-1.7827268925135997	797
GSE152048	BC11	recurrence	CCL13	Myeloid	mean_log1p_cp10k	0.0474819805566443	Pericyte	0.0449584923866556	0.002523488169988701	797
GSE152048	BC20	recurrence	CCL13	Myeloid	pct_positive	1.60642570281124	Fibroblast_MSC	0.391006842619746	1.2154188601914941	747
GSE152048	BC20	recurrence	CCL13	Myeloid	mean_log1p_cp10k	0.0121632739115076	Fibroblast_MSC	0.0025332979406454	0.0096299759708622	747
GSE162454	OS_1	primary	ACKR4	Osteoclast	pct_positive	20.7115628970775	Other	6.48351648351648	14.22804641356102	787
GSE162454	OS_1	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.117141630509705	Other	0.0283112283711251	0.0888304021385799	787
GSE162454	OS_1	primary	CCL13	Myeloid	pct_positive	1.89692197566213	Other	1.42857142857143	0.4683505470907001	2794
GSE162454	OS_1	primary	CCL13	Myeloid	mean_log1p_cp10k	0.016173905648846	Other	0.0115019067083073	0.004671998940538701	2794
GSE162454	OS_2	primary	ACKR4	Osteoclast	pct_positive	2.71816881258941	Pericyte	6.45161290322581	-3.7334440906363997	699
GSE162454	OS_2	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0195035869015802	Pericyte	0.0708211851927526	-0.0513175982911724	699
GSE162454	OS_2	primary	CCL13	Myeloid	pct_positive	11.1050626020686	Other	8.57908847184987	2.5259741302187297	1837
GSE162454	OS_2	primary	CCL13	Myeloid	mean_log1p_cp10k	0.146488173473719	Other	0.0796452868188284	0.0668428866548906	1837
GSE162454	OS_3	primary	ACKR4	Osteoclast	pct_positive	0.214132762312634	Pericyte	3.36134453781513	-3.147211775502496	467
GSE162454	OS_3	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0011175418102929	Pericyte	0.042939930741915	-0.0418223889316221	467
GSE162454	OS_3	primary	CCL13	Myeloid	pct_positive	2.03488372093023	Other	0.793650793650794	1.241232927279436	344
GSE162454	OS_3	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0278237721928402	Other	0.0076337936254812	0.020189978567358997	344
GSE162454	OS_4	primary	ACKR4	Osteoclast	pct_positive	5.72687224669604	Fibroblast_MSC	19.3181818181818	-13.591309571485759	227
GSE162454	OS_4	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.025178166521419	Fibroblast_MSC	0.119976752634206	-0.09479858611278699	227
GSE162454	OS_4	primary	CCL13	Myeloid	pct_positive	2.19138056975895	Fibroblast_MSC	5.68181818181818	-3.49043761205923	1369
GSE162454	OS_4	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0203275420958258	Fibroblast_MSC	0.0952555094980842	-0.0749279674022584	1369
GSE162454	OS_5	primary	ACKR4	Osteoclast	pct_positive	9.43396226415094	Fibroblast_MSC	0.487804878048781	8.94615738610216	212
GSE162454	OS_5	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0482603223566767	Myeloid	0.001696077711083	0.0465642446455937	212
GSE162454	OS_5	primary	CCL13	Myeloid	pct_positive	5.58812035951544	Other	2.99212598425197	2.5959943752634698	5118
GSE162454	OS_5	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0683628029467037	Other	0.0245489096730643	0.0438138932736394	5118
GSE162454	OS_6	primary	ACKR4	Osteoclast	pct_positive	2.56410256410256	Tumor_mesenchymal	0.446428571428571	2.1176739926739887	39
GSE162454	OS_6	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0231095703581016	Fibroblast_MSC	0.0044769097717599	0.0186326605863417	39
GSE162454	OS_6	primary	CCL13	Myeloid	pct_positive	2.68872802481903	Pericyte	2.0	0.6887280248190302	967
GSE162454	OS_6	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0288822296113835	Pericyte	0.0140182321415665	0.014863997469817002	967
GSE270231	NCHS-009	lung_metastasis	CCL13	Myeloid	pct_positive	0.707130229817325	Fibroblast_MSC	1.00294985250737	-0.2958196226900449	1697
GSE270231	NCHS-009	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0075358598820903	Fibroblast_MSC	0.0085495007518296	-0.0010136408697393002	1697
GSE270231	NCHS-015	lung_metastasis	ACKR4	Osteoclast	pct_positive	1.24223602484472	Other	2.1551724137931	-0.9129363889483801	483
GSE270231	NCHS-015	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	0.0098407125355901	Other	0.0211484501544595	-0.0113077376188694	483
GSE270231	SC069	lung_metastasis	CCL13	Myeloid	pct_positive	0.0652883569096844	B_plasma	0.0	0.0652883569096844	4595
GSE270231	SC069	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0013068854407339	B_plasma	0.0	0.0013068854407339	4595
GSE270231	SC072	lung_metastasis	CCL13	Myeloid	pct_positive	0.0	B_plasma	0.0	0.0	86
GSE270231	SC072	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0	B_plasma	0.0	0.0	86
GSE270231	SC073	lung_metastasis	ACKR4	Osteoclast	pct_positive	0.0	Other	0.657894736842105	-0.657894736842105	156
GSE270231	SC073	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	0.0	Other	0.0128178552392547	-0.0128178552392547	156
GSE270231	SC073	lung_metastasis	CCL13	Myeloid	pct_positive	0.373134328358209	Endothelial	0.0	0.373134328358209	536
GSE270231	SC073	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0043047297940697	Endothelial	0.0	0.0043047297940697	536
